model,sim_time,arrival_mean,service_mean,num_nurses,seed,total_arrived,total_served,average_wait,average_system_time,utilization,max_queue_length,average_wait_red,average_wait_yellow,average_wait_green,scenario_group,scenario_name
fifo,1000,5,4,1,1000,185,182,10.854993002252236,15.086132033657448,0.7700673037157489,11,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,1,1001,221,215,16.615826394344094,20.717311937275465,0.8818193917302446,13,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,1,1002,198,197,27.66989364995451,31.619491685668855,0.7780708130357261,23,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,1,1003,187,187,13.794451582002946,17.507967997909084,0.6944275697744472,12,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,1,1004,176,172,10.257647425532436,15.004724646173013,0.8164972819501789,9,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,1,1005,181,180,12.182357806950202,16.20038104694272,0.7232441831986537,11,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,1,1006,200,196,19.4626538110083,23.877844527235204,0.8653773803804737,16,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,1,1007,193,190,12.467804150557653,16.343693502046126,0.7364189767828097,11,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,1,1008,206,206,7.1869622815535505,10.894919794923078,0.7638392477541223,8,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,1,1009,214,214,16.58864206525193,20.334692740456266,0.8016548444937284,13,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,1,1010,200,199,9.924865581369561,13.781194123112623,0.76740937980687,9,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,1,1011,220,219,13.124818748971176,16.874148002404695,0.8211031065019405,11,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,1,1012,220,219,9.054247315776662,12.941336753563517,0.8512725868753214,13,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,1,1013,203,203,9.509321131102503,13.362207269750183,0.7821358861454791,9,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,1,1014,200,199,5.771607894456669,9.191527328386004,0.6805639673519376,10,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,1,1015,200,198,17.42515724332529,21.623770736906735,0.8313254717291253,14,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,1,1016,215,211,7.2318079909646045,10.98750217442743,0.7924514727106561,7,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,1,1017,175,175,7.232043288745776,11.27510953154721,0.7075365924902509,8,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,1,1018,191,187,11.884212634336944,16.22268184838743,0.8112937430274411,10,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,1,1019,196,196,9.246176421171395,13.180607946297073,0.7711485789246333,9,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,2,2000,219,219,1.1785128328391956,5.624582768615532,0.4868446579675088,6,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2001,181,181,0.5803165986304959,4.710327936735159,0.37376602609847215,5,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2002,181,181,1.2182616793763208,5.1455299643531145,0.35541777979040007,8,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2003,216,216,0.5228477781583812,4.437090480071849,0.4227382118066544,4,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2004,195,194,0.8952190873045436,4.97760373635966,0.3959913109583461,6,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2005,206,206,1.3224454002021737,5.151675303146444,0.3944106800032598,8,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2006,204,204,0.6261324089174147,4.494614918836778,0.39458521601177504,3,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2007,211,208,1.2105005479967657,5.215793417151932,0.41655045839213745,6,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2008,197,197,0.6347627734186349,4.34134108141699,0.3650979633378381,4,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2009,194,192,0.2759139863449129,3.9682325310243844,0.35446258028922933,2,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2010,216,216,1.5624213670400289,5.550255909321435,0.4306861305663919,9,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2011,183,182,0.5590509503464182,4.212897772082705,0.33250006077800226,3,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2012,210,210,1.0008768301293955,5.22044994654152,0.44305517722327287,5,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2013,165,163,0.5844144715025402,5.0078762131645576,0.3605121319454547,3,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2014,198,198,0.43755874671218026,4.472577159578849,0.39946682287380025,4,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2015,198,197,0.7251626235816677,4.75636093587681,0.3970730337610715,4,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2016,210,209,0.765695554076673,4.763286251077461,0.41774822783658233,6,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2017,192,191,0.32914587184584626,4.0025337110017745,0.35080853863939127,3,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2018,166,165,0.2387700421256864,4.069861096609442,0.3160650119949097,2,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2019,198,197,0.6373294141211653,4.904088688908091,0.42027578856651215,4,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
