model,sim_time,arrival_mean,service_mean,num_nurses,replications,total_arrived,total_served,average_wait,average_system_time,utilization,max_queue_length,average_wait_red,average_wait_yellow,average_wait_green,scenario_group,scenario_name
fifo,1000,5,4,1,20,199.05,197.25,12.37427452098142,16.35136228135351,0.7823828889189894,11.35,,,,nurse_count_comparison,fifo_nurses_1_fixed_load
fifo,1000,5,4,2,20,197.0,196.3,0.7652669482335221,4.7513489910937245,0.3914027904420505,4.75,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,3,20,202.7,201.8,0.09450931493301569,4.130989919396607,0.27164400954060763,2.45,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
priority,1000,5,4,1,20,198.95,194.6,11.402383004610963,15.264265867270051,0.7516275402603336,11.1,3.017691626901521,4.661766080529045,16.312715357983777,nurse_count_comparison,priority_nurses_1_fixed_load
priority,1000,5,4,2,20,200.9,200.0,0.7028555380751207,4.711046668325078,0.40044136640029454,4.15,0.3913227324267876,0.48212675403736815,0.863446375454418,nurse_count_comparison,priority_nurses_2_fixed_load
priority,1000,5,4,3,20,205.55,204.7,0.090660220754754,3.981503362350338,0.2656300458597513,2.1,0.0608049146155191,0.058392775513330386,0.1095291364968215,nurse_count_comparison,priority_nurses_3_fixed_load
fifo,1000,3,4,1,20,322.15,253.2,106.06426359652339,109.93435895219758,0.9784557581842611,70.0,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
fifo,1000,4,4,1,20,250.1,232.2,46.74828598758481,50.766863352932845,0.9291898187992705,27.2,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_4
fifo,1000,5,4,1,20,198.65,194.0,17.732335082848817,21.72944097814419,0.7755972422160171,14.2,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_5
fifo,1000,6,4,1,20,165.8,164.2,6.58469671832317,10.544078962712172,0.6517241780968142,7.45,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_6
fifo,1000,7,4,1,20,146.15,144.95,6.280757168651041,10.328469085578883,0.5871184341537091,7.7,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_7
priority,1000,3,4,1,20,330.15,247.05,95.23126109193761,99.22964666972707,0.9831664182586042,85.2,4.513299551081085,8.813121136410498,193.60878865601882,load_comparison_one_nurse,priority_one_nurse_arrival_3
priority,1000,4,4,1,20,248.65,230.1,33.998071728909146,38.02127648238944,0.9240210697510275,26.95,3.834930750441351,7.290898884667769,56.69837199029189,load_comparison_one_nurse,priority_one_nurse_arrival_4
priority,1000,5,4,1,20,197.55,193.25,13.296341348820443,17.261568551995673,0.7671863580258149,11.75,3.497278956460684,5.098634980292544,19.597667213634644,load_comparison_one_nurse,priority_one_nurse_arrival_5
priority,1000,6,4,1,20,164.3,162.05,6.181161899107666,10.101757917443267,0.6352250716184547,7.75,2.61396890993024,3.293552192608884,8.253523024385958,load_comparison_one_nurse,priority_one_nurse_arrival_6
priority,1000,7,4,1,20,143.55,141.7,4.801772592744266,8.869015056478215,0.576351146712094,6.5,2.1766232079747914,3.2243002734761967,6.085298783621582,load_comparison_one_nurse,priority_one_nurse_arrival_7
fifo,1000,5,4,2,20,202.9,201.75,0.6516296580504,4.648205720291431,0.40321515597689206,3.95,,,,fifo_vs_priority_comparison,fifo_medium_load_two_nurses
priority,1000,5,4,2,20,200.5,199.8,0.655998877913728,4.504412426725912,0.38424844539081626,4.2,0.6312482863893779,0.545280802829265,0.7213301009404585,fifo_vs_priority_comparison,priority_medium_load_two_nurses
